###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:30:00.000

TIME          , nmot_w        , rl_w          , mshfm_w       , uhfm_w        , fr_w          , fra_w         , wdkba         , B_lr          , lamsbg_w      , lamsoni_w     , ti_w          , gangi         , pus_w         , rl            
     0.850,      765.5,     26.548,      1.887,    1.23180,   1.007900,   0.976343,     3.2100,          1,   1.000000,   0.993712,   0.002180,          0,     1015.4,     26.100
     0.900,      777.4,     25.636,      2.095,    1.19856,   1.021592,   0.975221,     3.3866,          1,   1.000000,   1.033450,   0.002107,          0,     1012.7,     26.396
     0.950,      765.6,     25.852,      1.901,    1.20337,   1.007063,   0.976324,     3.5345,          1,   1.000000,   1.005808,   0.001955,          0,     1013.3,     25.150
     1.000,      762.9,     25.055,      1.902,    1.20389,   1.016050,   0.970099,     3.7226,          1,   1.000000,   1.008396,   0.001936,          0,     1013.5,     24.916
     1.050,      762.4,     24.556,      1.894,    1.21773,   1.007143,   0.975171,     3.7656,          1,   1.000000,   0.962782,   0.001969,          0,     1012.9,     24.448
     1.100,      755.6,     24.247,      1.849,    1.23260,   0.987085,   0.976935,     3.4673,          1,   1.000000,   1.018493,   0.001943,          0,     1012.6,     23.946
     1.150,      746.3,     23.692,      1.750,    1.22688,   0.998194,   0.974943,     3.6114,          1,   1.000000,   0.979537,   0.001935,          0,     1012.6,     23.496
     1.200,      750.5,     23.508,      1.740,    1.25822,   0.994012,   0.974135,     3.6989,          1,   1.000000,   0.977899,   0.002031,          0,     1013.5,     22.934
     1.250,      749.6,     23.027,      1.704,    1.22982,   0.995696,   0.973558,     3.7225,          1,   1.000000,   0.999050,   0.002022,          0,     1013.4,     22.644
     1.300,      748.0,     22.565,      1.624,    1.21400,   0.996517,   0.976156,     3.2442,          1,   1.000000,   1.008416,   0.001910,          0,     1011.7,     22.772
     1.350,      736.8,     22.534,      1.670,    1.28852,   0.996532,   0.976014,     3.4820,          1,   1.000000,   0.997733,   0.002014,          0,     1013.3,     21.712
     1.400,      744.9,     22.002,      1.610,    1.19594,   0.992206,   0.974871,     3.3117,          1,   1.000000,   1.022311,   0.001905,          0,     1011.9,     22.030
     1.450,      743.3,     22.063,      1.594,    1.22906,   0.992272,   0.970358,     3.5144,          1,   1.000000,   0.995638,   0.002001,          0,     1012.4,     21.792
     1.500,      738.2,     22.084,      1.539,    1.20637,   0.980591,   0.977696,     3.4866,          1,   1.000000,   0.994333,   0.002139,          0,     1012.0,     22.046
     1.550,      746.0,     22.146,      1.530,    1.23174,   0.980692,   0.975616,     3.3427,          1,   1.000000,   1.002322,   0.001924,          0,     1012.4,     22.130
     1.600,      737.8,     21.877,      1.661,    1.26417,   0.990959,   0.976203,     3.4822,          1,   1.000000,   0.993262,   0.002107,          0,     1012.1,     22.066
     1.650,      748.1,     21.990,      1.695,    1.23918,   0.991849,   0.975447,     3.6593,          1,   1.000000,   1.012472,   0.002136,          0,     1012.2,     22.159
     1.700,      744.9,     22.303,      1.544,    1.21723,   0.995150,   0.973434,     3.4139,          1,   1.000000,   1.002932,   0.001949,          0,     1014.2,     22.140
     1.750,      744.0,     22.835,      1.723,    1.20526,   0.997457,   0.977228,     3.3248,          1,   1.000000,   0.968738,   0.001855,          0,     1013.0,     23.033
     1.800,      753.8,     22.859,      1.667,    1.17286,   0.987030,   0.973944,     3.4697,          1,   1.000000,   0.998449,   0.001961,          0,     1011.8,     23.386
     1.850,      759.7,     23.692,      1.858,    1.21357,   0.974157,   0.969147,     3.8807,          1,   1.000000,   1.003908,   0.001925,          0,     1013.5,     23.610
     1.900,      751.7,     23.855,      1.877,    1.21869,   0.989613,   0.978979,     3.2136,          1,   1.000000,   1.009393,   0.002128,          0,     1013.9,     23.954
     1.950,      760.0,     24.410,      1.890,    1.19040,   0.990669,   0.981719,     3.5638,          1,   1.000000,   1.024576,   0.001887,          0,     1011.9,     24.693
     2.000,      762.8,     24.655,      1.906,    1.23253,   0.992840,   0.981819,     3.5901,          1,   1.000000,   0.986292,   0.001970,          0,     1014.3,     24.635
     2.050,      766.5,     25.864,      1.944,    1.21195,   0.990287,   0.978315,     3.3420,          1,   1.000000,   0.964794,   0.001956,          0,     1013.8,     25.825
     2.100,      758.6,     25.710,      1.854,    1.22253,   0.986501,   0.973903,     3.7408,          1,   1.000000,   1.003670,   0.002006,          0,     1011.5,     25.502
     2.150,      766.4,     26.046,      2.089,    1.22534,   1.018939,   0.978467,     3.6736,          1,   1.000000,   1.001022,   0.001942,          0,     1011.8,     26.394
     2.200,      772.5,     26.541,      2.144,    1.22272,   1.018551,   0.975267,     3.8187,          1,   1.000000,   0.993603,   0.002163,          0,     1011.4,     26.871
     2.250,      771.2,     27.279,      2.083,    1.23224,   1.012260,   0.976276,     3.3734,          1,   1.000000,   1.017133,   0.002019,          0,     1011.9,     27.316
     2.300,      774.5,     27.175,      2.174,    1.22067,   1.003664,   0.969804,     3.5047,          1,   1.000000,   0.983141,   0.001902,          0,     1013.9,     27.463
     2.350,      781.8,     27.864,      2.156,    1.23519,   1.024385,   0.970312,     3.3610,          1,   1.000000,   1.010600,   0.001891,          0,     1013.7,     27.723
     2.400,      776.1,     28.480,      2.262,    1.18494,   1.012773,   0.975138,     3.6817,          1,   1.000000,   1.030529,   0.002062,          0,     1013.5,     27.573
     2.450,      780.2,     28.493,      2.334,    1.18843,   1.008674,   0.974316,     3.5484,          1,   1.000000,   0.985294,   0.002032,          0,     1011.3,     28.345
     2.500,      779.8,     27.506,      2.130,    1.25701,   1.038170,   0.981732,     3.5574,          1,   1.000000,   0.997142,   0.001930,          0,     1013.7,     27.742
     2.550,      776.1,     27.979,      2.275,    1.24635,   1.016717,   0.975106,     4.0422,          1,   1.000000,   0.996361,   0.001973,          0,     1014.0,     27.856
     2.600,      780.1,     27.759,      2.129,    1.18882,   1.032129,   0.977083,     3.5881,          1,   1.000000,   1.007049,   0.001909,          0,     1011.6,     27.837
     2.650,      779.4,     27.952,      2.096,    1.22292,   1.020554,   0.974011,     3.5926,          1,   1.000000,   1.013230,   0.001996,          0,     1012.0,     27.577
     2.700,      779.9,     27.935,      2.188,    1.22563,   1.030874,   0.977180,     3.4549,          1,   1.000000,   0.993330,   0.002053,          0,     1014.1,     28.055
     2.750,      778.0,     27.233,      2.002,    1.20664,   1.015739,   0.973829,     3.6936,          1,   1.000000,   1.005587,   0.001978,          0,     1012.0,     27.270
     2.800,      773.8,     26.992,      2.107,    1.22971,   1.017397,   0.979096,     3.6167,          1,   1.000000,   0.991774,   0.001978,          0,     1012.7,     26.411
     2.850,      765.1,     26.940,      1.952,    1.20897,   1.023394,   0.977317,     3.4847,          1,   1.000000,   0.972761,   0.002032,          0,     1013.3,     26.580
     2.900,      769.9,     26.032,      2.139,    1.20720,   1.009239,   0.979355,     3.5081,          1,   1.000000,   0.980385,   0.002004,          0,     1012.1,     26.179
     2.950,      762.1,     25.205,      1.993,    1.19429,   1.003920,   0.973462,     3.4433,          1,   1.000000,   0.982760,   0.002064,          0,     1012.6,     25.848
     3.000,      754.9,     25.024,      1.943,    1.17998,   0.998264,   0.976859,     3.3494,          1,   1.000000,   0.992528,   0.001967,          0,     1012.6,     25.285
     3.050,      751.8,     24.933,      1.853,    1.19501,   1.012402,   0.978937,     3.4162,          1,   1.000000,   0.988964,   0.001898,          0,     1011.6,     24.450
     3.100,      753.2,     23.748,      1.895,    1.24019,   0.997340,   0.972710,     3.7619,          1,   1.000000,   0.997278,   0.001986,          0,     1014.0,     24.322
     3.150,      747.4,     23.717,      1.763,    1.23643,   1.000008,   0.971470,     3.3890,          1,   1.000000,   0.998784,   0.001931,          0,     1013.2,     23.326
     3.200,      754.2,     23.363,      1.691,    1.21684,   1.001141,   0.975211,     3.8102,          1,   1.000000,   0.966898,   0.002077,          0,     1013.7,     23.085
     3.250,      746.5,     22.774,      1.716,    1.18964,   0.994819,   0.970818,     3.6342,          1,   1.000000,   1.008778,   0.001979,          0,     1013.9,     22.610
     3.300,      740.4,     22.599,      1.666,    1.20358,   0.998221,   0.974779,     3.0894,          1,   1.000000,   1.004050,   0.002032,          0,     1014.0,     22.702
     3.350,      741.5,     22.182,      1.722,    1.21183,   0.989289,   0.973538,     3.4049,          1,   1.000000,   0.993465,   0.001950,          0,     1013.0,     21.921
     3.400,      748.3,     21.835,      1.662,    1.22094,   0.990402,   0.973644,     3.4730,          1,   1.000000,   0.992377,   0.002059,          0,     1012.7,     21.897
     3.450,      738.7,     22.328,      1.593,    1.19672,   0.979294,   0.977290,     3.2478,          1,   1.000000,   0.982842,   0.002037,          0,     1013.5,     22.097
     3.500,      742.8,     22.123,      1.659,    1.23060,   0.988576,   0.979106,     3.6115,          1,   1.000000,   0.984423,   0.001996,          0,     1014.3,     21.890
     3.550,      743.5,     22.106,      1.565,    1.24659,   0.981174,   0.973395,     3.6761,          1,   1.000000,   1.000536,   0.001974,          0,     1013.5,     22.044
     3.600,      737.4,     22.195,      1.692,    1.15940,   0.968929,   0.974883,     3.6085,          1,   1.000000,   0.993798,   0.001943,          0,     1013.1,     22.160
     3.650,      740.4,     22.293,      1.616,    1.21146,   0.992045,   0.976590,     3.2021,          1,   1.000000,   1.014443,   0.001995,          0,     1014.3,     22.581
     3.700,      743.7,     22.755,      1.700,    1.19616,   0.981368,   0.974234,     3.5812,          1,   1.000000,   0.996347,   0.001926,          0,     1011.5,     22.319
     3.750,      746.4,     23.295,      1.893,    1.19748,   0.983464,   0.976280,     3.4885,          1,   1.000000,   0.985267,   0.002104,          0,     1012.2,     22.767
     3.800,      749.5,     23.181,      1.721,    1.18379,   0.984321,   0.976384,     3.6515,          1,   1.000000,   1.002750,   0.002039,          0,     1014.2,     23.075
     3.850,      757.3,     23.542,      1.849,    1.21379,   0.990514,   0.980343,     3.4293,          1,   1.000000,   0.966028,   0.001988,          0,     1015.8,     23.277
     3.900,      748.2,     23.758,      1.834,    1.20892,   0.989734,   0.973347,     3.5189,          1,   1.000000,   0.993235,   0.001891,          0,     1013.1,     24.044
     3.950,      760.2,     24.439,      1.914,    1.18615,   0.991022,   0.975943,     3.4862,          1,   1.000000,   0.995464,   0.001952,          0,     1013.9,     24.464
     4.000,      761.1,     24.829,      1.998,    1.22064,   0.987532,   0.970288,     3.4602,          1,   1.000000,   0.978593,   0.002023,          0,     1012.8,     24.844
     4.050,      759.9,     25.790,      1.961,    1.21429,   1.010407,   0.972987,     3.4186,          1,   1.000000,   1.016782,   0.001937,          0,     1013.4,     25.504
     4.100,      765.5,     25.875,      2.000,    1.19355,   1.008691,   0.979064,     3.6136,          1,   1.000000,   0.999486,   0.002001,          0,     1012.5,     25.837
     4.150,      771.0,     26.590,      1.998,    1.23779,   0.994402,   0.973747,     3.7730,          1,   1.000000,   0.990598,   0.001910,          0,     1012.5,     26.746
     4.200,      777.5,     27.175,      2.074,    1.25621,   1.000539,   0.974869,     3.5394,          1,   1.000000,   0.992081,   0.002005,          0,     1013.1,     27.090
     4.250,      771.0,     27.637,      1.928,    1.20782,   1.006158,   0.977595,     3.4192,          1,   1.000000,   1.006347,   0.001997,          0,     1014.1,     27.476
     4.300,      772.8,     27.361,      2.130,    1.20824,   1.012133,   0.974928,     3.3892,          1,   1.000000,   0.998079,   0.001999,          0,     1011.6,     27.591
     4.350,      770.4,     28.147,      2.207,    1.20326,   0.990856,   0.976151,     3.2665,          1,   1.000000,   1.003576,   0.002001,          0,     1012.8,     27.813
     4.400,      772.0,     27.725,      2.165,    1.23176,   0.998907,   0.973696,     3.3759,          1,   1.000000,   0.979670,   0.001935,          0,     1012.3,     27.523
     4.450,      783.2,     28.177,      2.172,    1.22144,   1.005629,   0.980885,     3.4425,          1,   1.000000,   1.010773,   0.002067,          0,     1012.0,     27.772
     4.500,      784.4,     28.056,      2.375,    1.21369,   1.021023,   0.974372,     3.3241,          1,   1.000000,   1.012471,   0.001940,          0,     1010.5,     28.007
     4.550,      776.6,     27.725,      2.169,    1.23905,   1.020941,   0.976001,     3.2983,          1,   1.000000,   1.001312,   0.002017,          0,     1011.6,     28.183
     4.600,      785.8,     27.583,      2.240,    1.23741,   1.012748,   0.973429,     3.5922,          1,   1.000000,   0.993402,   0.002067,          0,     1012.8,     27.502
     4.650,      781.4,     27.825,      2.061,    1.21682,   1.016228,   0.973500,     3.4503,          1,   1.000000,   0.976979,   0.002012,          0,     1011.7,     27.783
     4.700,      784.4,     26.953,      2.091,    1.25833,   1.019684,   0.973527,     3.7230,          1,   1.000000,   0.993902,   0.001910,          0,     1012.7,     27.397
     4.750,      775.2,     26.919,      2.062,    1.25034,   1.032595,   0.974282,     3.4577,          1,   1.000000,   1.031069,   0.002002,          0,     1014.5,     27.289
     4.800,      773.9,     27.042,      2.043,    1.21591,   1.010060,   0.975768,     3.4095,          1,   1.000000,   0.980595,   0.002000,          0,     1013.8,     26.731
     4.850,      774.3,     26.856,      1.984,    1.21253,   1.018150,   0.976427,     3.5303,          1,   1.000000,   0.991477,   0.001942,          0,     1013.8,     26.101
     4.900,      767.7,     25.714,      2.070,    1.20006,   1.009079,   0.976251,     3.4906,          1,   1.000000,   0.979295,   0.002048,          0,     1013.9,     26.060
     4.950,      765.0,     25.282,      1.922,    1.24227,   0.988125,   0.976060,     3.5310,          1,   1.000000,   0.998387,   0.001952,          0,     1012.9,     25.459
     5.000,      760.3,     25.181,      1.922,    1.24914,   1.008306,   0.978852,     3.1991,          1,   1.000000,   0.980437,   0.002018,          0,     1015.0,     25.012
     5.050,      757.1,     24.527,      1.815,    1.24316,   1.011005,   0.975288,     3.1969,          1,   1.000000,   1.013755,   0.002066,          0,     1011.9,     24.132
     5.100,      753.7,     24.526,      1.811,    1.20681,   1.000630,   0.974598,     3.7759,          1,   1.000000,   0.994735,   0.002001,          0,     1014.3,     24.306
     5.150,      751.6,     23.554,      1.736,    1.21022,   0.995858,   0.976216,     3.5529,          1,   1.000000,   0.998994,   0.002027,          0,     1012.0,     23.534
     5.200,      745.0,     23.224,      1.776,    1.21377,   1.001554,   0.977538,     3.4859,          1,   1.000000,   1.007314,   0.001912,          0,     1013.4,     23.355
     5.250,      748.3,     22.844,      1.792,    1.20572,   0.996213,   0.976679,     3.6202,          1,   1.000000,   1.014430,   0.001938,          0,     1012.7,     23.046
     5.300,      741.0,     22.716,      1.701,    1.22676,   0.988893,   0.969962,     3.5802,          1,   1.000000,   0.998590,   0.001984,          0,     1013.4,     22.406
     5.350,      742.1,     22.158,      1.704,    1.20869,   0.986374,   0.975734,     3.6085,          1,   1.000000,   0.999779,   0.001946,          0,     1011.2,     22.422
     5.400,      744.7,     21.967,      1.646,    1.21936,   1.004190,   0.967715,     3.3285,          1,   1.000000,   1.019038,   0.002082,          0,     1011.9,     22.124
     5.450,      741.8,     21.863,      1.721,    1.22601,   0.988516,   0.977591,     3.7749,          1,   1.000000,   0.990663,   0.002090,          0,     1014.1,     22.102
     5.500,      742.3,     22.069,      1.659,    1.24425,   0.990067,   0.972360,     3.5567,          1,   1.000000,   1.022355,   0.002017,          0,     1013.8,     22.043
     5.550,      739.9,     22.155,      1.623,    1.20284,   0.978794,   0.974157,     3.4806,          1,   1.000000,   1.014842,   0.001980,          0,     1013.7,     22.472
     5.600,      744.6,     21.660,      1.572,    1.21018,   0.987877,   0.970071,     3.3611,          1,   1.000000,   1.026120,   0.001993,          0,     1013.2,     21.927
     5.650,      746.7,     22.312,      1.656,    1.22566,   0.988846,   0.976203,     3.4402,          1,   1.000000,   1.031296,   0.002004,          0,     1013.4,     21.448
     5.700,      748.1,     22.656,      1.702,    1.21520,   0.976055,   0.973080,     4.0511,          1,   1.000000,   1.013547,   0.001877,          0,     1014.9,     22.635
     5.750,      746.6,     22.851,      1.661,    1.24160,   0.963975,   0.976755,     3.2460,          1,   1.000000,   1.017972,   0.002032,          0,     1012.2,     22.350
     5.800,      752.3,     23.379,      1.677,    1.20458,   0.991179,   0.983053,     3.4263,          1,   1.000000,   1.012852,   0.001953,          0,     1013.4,     23.292
     5.850,      752.8,     23.465,      1.839,    1.27287,   0.980825,   0.975464,     3.1163,          1,   1.000000,   1.007566,   0.001972,          0,     1014.3,     23.681
     5.900,      752.5,     24.237,      1.896,    1.19806,   0.992854,   0.970227,     3.6641,          1,   1.000000,   1.014065,   0.001986,          0,     1013.5,     24.165
     5.950,      753.9,     24.002,      1.881,    1.25978,   0.977657,   0.979105,     3.9095,          1,   1.000000,   0.994688,   0.002072,          0,     1013.2,     24.361
     6.000,      757.1,     24.376,      1.870,    1.21067,   0.979723,   0.979186,     3.9046,          1,   1.000000,   1.016881,   0.002070,          0,     1015.0,     25.063
     6.050,      767.1,     25.795,      1.940,    1.17543,   0.973780,   0.977024,     3.3354,          1,   1.000000,   0.997853,   0.001871,          0,     1013.2,     26.191
     6.100,      767.2,     25.927,      2.048,    1.26466,   1.002747,   0.977431,     3.3703,          1,   1.000000,   0.979912,   0.001904,          0,     1013.4,     25.922
     6.150,      765.6,     26.591,      2.057,    1.24467,   0.992299,   0.974158,     3.3647,          1,   1.000000,   0.960681,   0.002052,          0,     1013.9,     26.541
     6.200,      775.0,     26.864,      2.125,    1.19452,   0.992780,   0.973391,     3.4573,          1,   1.000000,   1.025948,   0.002052,          0,     1012.9,     26.888
     6.250,      773.2,     27.129,      2.153,    1.21806,   0.985532,   0.976037,     3.3656,          1,   1.000000,   0.996039,   0.001931,          0,     1013.6,     27.064
     6.300,      770.0,     27.406,      2.158,    1.21245,   1.006471,   0.976179,     3.4505,          1,   1.000000,   1.008538,   0.002086,          0,     1013.8,     27.434
     6.350,      775.1,     27.354,      2.173,    1.17964,   0.995607,   0.976576,     3.5642,          1,   1.000000,   1.011667,   0.001955,          0,     1013.1,     27.733
     6.400,      779.4,     28.147,      2.196,    1.23980,   1.023753,   0.977775,     3.2432,          1,   1.000000,   0.994587,   0.002056,          0,     1013.7,     28.084
     6.450,      785.8,     28.139,      2.305,    1.20493,   1.017620,   0.974727,     3.6369,          1,   1.000000,   1.016720,   0.002007,          0,     1012.8,     27.860
     6.500,      776.3,     27.452,      2.139,    1.24674,   1.025393,   0.974285,     3.5759,          1,   1.000000,   0.972859,   0.001962,          0,     1012.5,     27.429
     6.550,      781.6,     27.563,      2.202,    1.21221,   1.014965,   0.978793,     3.4950,          1,   1.000000,   0.986381,   0.001871,          0,     1012.6,     27.866
     6.600,      784.4,     26.974,      2.172,    1.20668,   1.043342,   0.974232,     3.0375,          1,   1.000000,   1.002798,   0.001971,          0,     1014.4,     27.485
     6.650,      776.4,     27.871,      2.065,    1.21799,   1.040179,   0.975935,     3.6139,          1,   1.000000,   0.997131,   0.001954,          0,     1011.0,     27.819
     6.700,      772.7,     28.007,      2.149,    1.18826,   1.008460,   0.974569,     3.2489,          1,   1.000000,   0.992702,   0.002017,          0,     1012.1,     27.310
     6.750,      773.3,     27.074,      2.088,    1.21408,   1.032017,   0.973326,     3.6353,          1,   1.000000,   1.012824,   0.001949,          0,     1012.9,     27.271
     6.800,      763.1,     26.807,      1.992,    1.19624,   1.040775,   0.976481,     3.4895,          1,   1.000000,   0.994587,   0.002039,          0,     1012.9,     26.857
     6.850,      773.2,     26.316,      1.980,    1.21443,   1.031480,   0.974559,     3.4310,          1,   1.000000,   0.993566,   0.002022,          0,     1013.4,     26.176
     6.900,      758.5,     26.062,      1.912,    1.23666,   1.021893,   0.976865,     3.5210,          1,   1.000000,   1.011050,   0.001912,          0,     1011.9,     26.048
     6.950,      766.7,     25.049,      1.986,    1.20670,   1.017948,   0.978575,     3.5207,          1,   1.000000,   0.975192,   0.002039,          0,     1013.0,     25.751
     7.000,      760.7,     24.766,      1.977,    1.20101,   1.013891,   0.980386,     3.5310,          1,   1.000000,   0.978703,   0.001997,          0,     1014.0,     25.222
     7.050,      756.1,     24.767,      1.958,    1.20024,   1.010019,   0.978208,     3.2326,          1,   1.000000,   1.027230,   0.001999,          0,     1013.7,     24.804
     7.100,      754.6,     24.076,      1.919,    1.20868,   1.003589,   0.971482,     3.8023,          1,   1.000000,   0.998158,   0.002061,          0,     1012.9,     24.368
     7.150,      748.5,     23.444,      1.734,    1.21479,   1.009521,   0.974921,     3.9297,          1,   1.000000,   1.027123,   0.001946,          0,     1012.3,     23.791
     7.200,      747.8,     23.361,      1.738,    1.24468,   0.999326,   0.970106,     3.2428,          1,   1.000000,   0.994436,   0.002017,          0,     1012.2,     23.045
     7.250,      745.4,     23.238,      1.650,    1.21301,   1.009361,   0.983037,     3.2311,          1,   1.000000,   1.017478,   0.001924,          0,     1013.7,     22.758
     7.300,      739.1,     22.514,      1.729,    1.25083,   1.016464,   0.971881,     3.3590,          1,   1.000000,   1.006561,   0.001923,          0,     1011.5,     22.748
     7.350,      741.8,     22.170,      1.656,    1.19553,   1.003672,   0.979477,     3.4503,          1,   1.000000,   1.005181,   0.001965,          0,     1011.3,     22.242
     7.400,      742.5,     22.266,      1.702,    1.19689,   0.976630,   0.974740,     3.5333,          1,   1.000000,   1.016542,   0.001897,          0,     1013.6,     22.282
     7.450,      738.0,     22.400,      1.554,    1.23051,   1.006654,   0.974352,     3.7280,          1,   1.000000,   1.005571,   0.001939,          0,     1012.6,     22.186
     7.500,      743.4,     21.558,      1.602,    1.26169,   0.970727,   0.976080,     3.8311,          1,   1.000000,   0.968808,   0.001928,          0,     1013.0,     21.864
     7.550,      743.7,     21.902,      1.659,    1.26162,   0.994215,   0.976271,     3.6227,          1,   1.000000,   1.007621,   0.001934,          0,     1012.3,     22.356
     7.600,      747.2,     22.331,      1.651,    1.18884,   0.981351,   0.973662,     3.4564,          1,   1.000000,   0.999032,   0.001996,          0,     1014.5,     21.772
     7.650,      744.6,     22.362,      1.663,    1.24521,   0.990765,   0.973013,     3.4628,          1,   1.000000,   0.988661,   0.002058,          0,     1012.9,     22.354
     7.700,      740.6,     22.726,      1.637,    1.25776,   0.987480,   0.979093,     3.4441,          1,   1.000000,   0.992062,   0.001968,          0,     1013.7,     22.457
     7.750,      755.2,     22.392,      1.690,    1.22607,   0.973583,   0.973803,     3.4096,          1,   1.000000,   1.023407,   0.001955,          0,     1011.8,     23.290
     7.800,      746.3,     23.206,      1.717,    1.22934,   1.001040,   0.972903,     3.4867,          1,   1.000000,   0.991127,   0.002025,          0,     1011.7,     23.345
     7.850,      756.4,     23.626,      1.819,    1.21426,   0.977808,   0.976605,     3.4880,          1,   1.000000,   0.991926,   0.001982,          0,     1012.9,     23.599
     7.900,      748.8,     23.961,      1.794,    1.19443,   0.971181,   0.977517,     3.4167,          1,   1.000000,   0.991463,   0.002006,          0,     1014.4,     23.973
     7.950,      758.2,     24.607,      1.819,    1.20777,   0.977542,   0.975668,     3.4141,          1,   1.000000,   0.993825,   0.001994,          0,     1013.2,     24.686
     8.000,      760.1,     25.205,      1.894,    1.24851,   0.986466,   0.979352,     3.3806,          1,   1.000000,   0.998804,   0.002016,          0,     1012.6,     25.373
     8.050,      762.8,     25.353,      1.945,    1.25806,   0.973046,   0.974190,     3.6124,          1,   1.000000,   0.992555,   0.002061,          0,     1013.0,     25.654
     8.100,      772.8,     25.764,      2.036,    1.21891,   0.980800,   0.975299,     3.4206,          1,   1.000000,   1.001939,   0.002015,          0,     1014.5,     26.288
     8.150,      763.4,     25.987,      2.085,    1.26661,   0.992870,   0.974074,     3.6465,          1,   1.000000,   0.992154,   0.001960,          0,     1014.6,     26.629
