###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:35:00.000

TIME          , nmot_w        , rl_w          , rlsol_w       , mshfm_w       , pvdks_w       , plsol_w       , ldtvm         , wped_w        , wdkba         , gangi         , vfil_w        , tmot          , tans          , pus_w         , fr_w          , lamsbg_w      , lamsoni_w     , ti_w          
     0.900,     2996.0,     47.654,     49.783,     19.236,      908.0,     1094.2,       6.04,    50.8000,    41.6560,          3,     72.406,       88.5,       28.2,     1013.6,   0.995632,   1.000000,   1.025936,   0.002635
     0.950,     3051.7,     50.156,     52.599,     20.147,      914.8,     1106.8,       7.40,    51.4000,    42.1480,          3,     73.089,       88.5,       28.5,     1012.5,   0.992660,   1.000000,   0.990342,   0.002747
     1.000,     3125.0,     51.652,     54.300,     21.093,      951.0,     1119.3,       8.19,    52.0000,    42.6400,          3,     72.733,       88.5,       29.0,     1012.4,   1.001215,   1.000000,   1.002674,   0.002743
     1.050,     3118.1,     54.871,     57.023,     21.672,      948.7,     1131.9,       9.05,    52.6000,    43.1320,          3,     74.476,       88.5,       28.1,     1013.2,   1.002185,   1.000000,   1.027917,   0.002995
     1.100,     3150.7,     55.591,     59.470,     23.128,      975.3,     1144.5,       9.73,    53.2000,    43.6240,          3,     75.225,       88.5,       28.2,     1013.2,   1.009314,   1.000000,   1.056674,   0.003101
     1.150,     3197.2,     57.908,     60.869,     25.106,      986.0,     1157.1,      11.60,    53.8000,    44.1160,          3,     75.768,       88.5,       28.0,     1014.0,   1.003981,   1.000000,   0.990583,   0.003252
     1.200,     3196.8,     61.022,     62.435,     25.455,     1013.5,     1169.6,      11.68,    54.4000,    44.6080,          3,     76.489,       88.5,       28.7,     1012.7,   0.996673,   1.000000,   1.046617,   0.003367
     1.250,     3275.4,     62.570,     65.433,     25.585,     1028.9,     1182.2,      13.67,    55.0000,    45.1000,          3,     78.313,       88.5,       28.8,     1012.9,   1.005377,   1.000000,   0.994655,   0.003336
     1.300,     3307.0,     64.297,     67.806,     28.102,     1044.1,     1194.8,      13.78,    55.6000,    45.5920,          3,     77.397,       88.5,       29.2,     1014.1,   1.005793,   1.000000,   0.993338,   0.003670
     1.350,     3331.8,     66.981,     69.200,     28.877,     1044.5,     1207.4,      15.35,    56.2000,    46.0840,          3,     80.757,       88.5,       28.3,     1012.5,   1.003118,   1.000000,   0.990241,   0.003752
     1.400,     3398.6,     67.899,     70.823,     30.424,     1079.6,     1220.0,      15.48,    56.8000,    46.5760,          3,     79.462,       88.5,       27.8,     1012.9,   0.997860,   1.000000,   0.992101,   0.003892
     1.450,     3389.3,     68.355,     74.024,     31.297,     1070.1,     1232.6,      17.44,    57.4000,    47.0680,          3,     80.859,       88.5,       28.1,     1014.3,   0.985484,   1.000000,   1.002797,   0.003995
     1.500,     3444.8,     72.236,     75.598,     32.817,     1137.7,     1245.2,      18.89,    58.0000,    47.5600,          3,     81.838,       88.5,       27.2,     1013.4,   0.993820,   1.000000,   1.003388,   0.003903
     1.550,     3471.2,     73.918,     77.990,     33.712,     1138.0,     1257.8,      18.27,    58.6000,    48.0520,          3,     83.062,       88.5,       27.6,     1013.9,   0.996126,   1.000000,   0.991352,   0.004046
     1.600,     3525.9,     77.151,     81.066,     35.996,     1149.7,     1270.4,      20.06,    59.2000,    48.5440,          3,     84.071,       88.5,       27.9,     1013.7,   0.993179,   1.000000,   1.028224,   0.004196
     1.650,     3575.9,     78.911,     83.294,     36.521,     1144.5,     1283.0,      22.23,    59.8000,    49.0360,          3,     84.478,       88.5,       27.1,     1012.8,   1.007697,   1.000000,   1.040129,   0.004410
     1.700,     3601.4,     81.903,     85.128,     36.913,     1180.1,     1295.6,      21.06,    60.4000,    49.5280,          3,     85.534,       88.5,       27.5,     1013.3,   0.994011,   0.820000,   0.811915,   0.004320
     1.750,     3621.1,     83.986,     85.040,     39.617,     1178.9,     1308.2,      23.24,    61.0000,    50.0200,          3,     87.262,       88.5,       27.8,     1012.5,   1.003512,   0.820000,   0.814742,   0.004587
     1.800,     3616.8,     84.080,     89.316,     39.454,     1213.6,     1320.8,      23.67,    61.6000,    50.5120,          3,     86.665,       88.5,       28.5,     1014.6,   0.997317,   0.820000,   0.803203,   0.004636
     1.850,     3694.8,     86.723,     91.738,     42.553,     1213.6,     1333.4,      24.77,    62.2000,    51.0040,          3,     88.527,       88.5,       27.7,     1012.4,   0.991248,   0.820000,   0.806128,   0.004815
     1.900,     3720.9,     88.727,     93.267,     43.510,     1209.0,     1346.0,      25.74,    62.8000,    51.4960,          3,     87.397,       88.5,       28.8,     1012.4,   0.995661,   0.820000,   0.836524,   0.004974
     1.950,     3743.6,     91.580,     95.372,     44.583,     1270.8,     1358.6,      26.91,    63.4000,    51.9880,          3,     89.152,       88.5,       28.0,     1013.6,   1.001448,   0.820000,   0.823591,   0.005078
     2.000,     3821.0,     93.912,     98.711,     44.165,     1255.1,     1371.2,      29.07,    64.0000,    52.4800,          3,     90.595,       88.5,       28.3,     1012.3,   0.998626,   0.820000,   0.831514,   0.005069
     2.050,     3847.2,     94.549,     98.889,     47.554,     1242.3,     1383.8,      27.84,    64.6000,    52.9720,          3,     90.449,       88.5,       27.5,     1012.0,   0.996141,   0.820000,   0.816701,   0.004952
     2.100,     3856.4,     95.907,    101.955,     48.418,     1283.4,     1396.4,      29.77,    65.2000,    53.4640,          3,     92.805,       88.5,       29.0,     1013.0,   0.998309,   0.820000,   0.834094,   0.005136
     2.150,     3877.8,     98.668,    103.760,     49.341,     1338.6,     1409.0,      30.10,    65.8000,    53.9560,          3,     93.184,       88.5,       28.0,     1013.1,   0.999366,   0.820000,   0.820408,   0.005666
     2.200,     3962.5,    100.074,    106.531,     52.337,     1330.2,     1421.6,      31.70,    66.4000,    54.4480,          3,     94.669,       88.5,       28.1,     1014.7,   0.995348,   0.820000,   0.813897,   0.005640
     2.250,     3933.9,    101.138,    109.104,     52.053,     1392.9,     1434.2,      33.09,    67.0000,    54.9400,          3,     95.236,       88.5,       27.5,     1011.9,   0.998366,   0.820000,   0.807692,   0.005648
     2.300,     4012.6,    105.081,    110.605,     56.121,     1374.4,     1446.8,      33.55,    67.6000,    55.4320,          3,     96.857,       88.5,       27.9,     1012.3,   1.000377,   0.820000,   0.823001,   0.005905
     2.350,     3972.3,    105.076,    112.716,     57.218,     1409.5,     1459.4,      33.75,    68.2000,    55.9240,          3,     97.813,       88.5,       28.2,     1012.9,   0.997641,   0.820000,   0.831873,   0.006007
     2.400,     4043.5,    109.212,    113.883,     57.278,     1413.3,     1472.0,      35.79,    68.8000,    56.4160,          3,     96.294,       88.5,       28.1,     1011.9,   0.996791,   0.820000,   0.821998,   0.006112
     2.450,     4102.3,    109.326,    116.828,     58.988,     1428.4,     1484.6,      36.31,    69.4000,    56.9080,          3,     98.657,       88.5,       27.9,     1012.8,   0.991674,   0.820000,   0.826860,   0.005761
     2.500,     4186.1,    113.529,    118.032,     60.329,     1469.9,     1497.2,      38.87,    70.0000,    57.4000,          3,     99.601,       88.5,       27.8,     1013.5,   0.999852,   0.820000,   0.843391,   0.006298
     2.550,     4189.5,    113.509,    121.044,     63.135,     1460.6,     1509.8,      38.29,    70.6000,    57.8920,          3,     99.835,       88.5,       28.1,     1013.4,   1.000163,   0.820000,   0.817869,   0.006541
     2.600,     4226.1,    116.446,    120.848,     62.137,     1441.5,     1522.4,      40.23,    71.2000,    58.3840,          3,    100.876,       88.5,       29.0,     1012.8,   1.007003,   0.820000,   0.819563,   0.006611
     2.650,     4231.4,    120.789,    127.059,     63.423,     1497.7,     1535.0,      39.30,    71.8000,    58.8760,          3,    101.291,       88.5,       27.8,     1014.5,   0.996966,   0.820000,   0.824033,   0.006505
     2.700,     4324.9,    122.453,    126.359,     68.282,     1518.2,     1547.6,      42.24,    72.4000,    59.3680,          3,    102.272,       88.5,       27.9,     1013.8,   0.995325,   0.820000,   0.841771,   0.006622
     2.750,     4323.9,    124.485,    127.566,     69.206,     1529.0,     1560.2,      42.70,    73.0000,    59.8600,          3,    104.497,       88.5,       27.6,     1011.9,   0.996842,   0.820000,   0.807792,   0.006784
     2.800,     4342.5,    124.807,    130.957,     71.998,     1524.9,     1572.8,      43.06,    73.6000,    60.3520,          3,    103.635,       88.5,       28.2,     1012.5,   0.993669,   0.820000,   0.820320,   0.006793
     2.850,     4372.0,    126.370,    132.215,     71.908,     1574.2,     1585.4,      44.21,    74.2000,    60.8440,          3,    103.757,       88.5,       27.5,     1014.0,   0.997730,   0.820000,   0.820686,   0.006757
     2.900,     4419.2,    129.394,    135.257,     75.829,     1629.4,     1598.0,      42.49,    74.8000,    61.3360,          3,    104.471,       88.5,       27.5,     1013.5,   1.001491,   0.820000,   0.838433,   0.007153
     2.950,     4468.1,    134.418,    136.648,     73.376,     1585.3,     1610.6,      48.32,    75.4000,    61.8280,          3,    107.169,       88.5,       27.6,     1012.9,   0.999857,   0.820000,   0.824702,   0.007331
     3.000,     4471.7,    134.809,    141.205,     77.707,     1595.5,     1623.2,      46.47,    76.0000,    62.3200,          3,    107.947,       88.5,       27.4,     1011.2,   0.997785,   0.820000,   0.812704,   0.007331
     3.050,     4598.2,    134.159,    142.571,     80.573,     1638.1,     1635.8,      46.65,    76.6000,    62.8120,          3,    110.911,       88.5,       27.8,     1013.9,   0.996303,   0.820000,   0.828630,   0.007736
     3.100,     4558.9,    137.679,    140.962,     79.799,     1649.5,     1648.4,      49.32,    77.2000,    63.3040,          3,    111.465,       88.5,       27.5,     1013.3,   0.998966,   0.820000,   0.797800,   0.007459
     3.150,     4599.2,    139.093,    147.355,     78.656,     1653.4,     1661.0,      50.60,    77.8000,    63.7960,          3,    109.343,       88.5,       28.4,     1011.6,   0.995023,   0.820000,   0.808791,   0.007797
     3.200,     4640.3,    140.954,    149.140,     87.355,     1675.6,     1673.6,      50.01,    78.4000,    64.2880,          3,    111.438,       88.5,       28.1,     1014.8,   0.989299,   0.820000,   0.807033,   0.007803
     3.250,     4629.1,    144.709,    153.125,     88.055,     1719.2,     1686.2,      51.60,    79.0000,    64.7800,          3,    109.837,       88.5,       28.6,     1012.3,   1.007080,   0.820000,   0.806827,   0.007844
     3.300,     4718.9,    143.942,    155.064,     91.729,     1701.4,     1698.8,      50.55,    79.6000,    65.2720,          3,    113.152,       88.5,       28.3,     1012.5,   0.998206,   0.820000,   0.816942,   0.008260
     3.350,     4753.6,    149.297,    155.390,     88.879,     1711.0,     1711.4,      55.46,    80.2000,    65.7640,          3,    113.934,       88.5,       28.0,     1013.3,   1.008645,   0.820000,   0.822041,   0.008011
     3.400,     4774.5,    149.180,    158.551,     90.991,     1745.0,     1724.0,      55.76,    80.8000,    66.2560,          3,    114.039,       88.5,       27.8,     1012.9,   0.993665,   0.820000,   0.827390,   0.008109
     3.450,     4819.5,    149.947,    158.489,     95.256,     1755.8,     1736.6,      55.64,    81.4000,    66.7480,          3,    113.905,       88.5,       27.3,     1011.9,   0.991380,   0.820000,   0.819676,   0.008398
     3.500,     4840.2,    152.849,    159.798,     97.497,     1781.8,     1749.2,      56.39,    82.0000,    67.2400,          3,    116.184,       88.5,       27.9,     1012.9,   1.000740,   0.820000,   0.805708,   0.008514
     3.550,     4884.9,    158.400,    164.262,    104.248,     1771.4,     1761.8,      58.77,    82.6000,    67.7320,          3,    117.259,       88.5,       28.1,     1011.0,   0.988675,   0.820000,   0.786742,   0.008470
     3.600,     4881.6,    160.087,    165.773,    101.181,     1822.1,     1774.4,      60.71,    83.2000,    68.2240,          3,    117.847,       88.5,       28.4,     1013.1,   1.010848,   0.820000,   0.808176,   0.008890
     3.650,     4954.3,    161.261,    169.700,    102.439,     1814.0,     1787.0,      62.57,    83.8000,    68.7160,          3,    118.037,       88.5,       27.9,     1012.7,   0.996173,   0.820000,   0.818152,   0.008501
     3.700,     4996.9,    163.332,    169.905,    106.312,     1859.7,     1799.6,      60.70,    84.4000,    69.2080,          3,    120.990,       88.5,       27.4,     1011.3,   1.001691,   0.820000,   0.797935,   0.009140
     3.750,     5066.9,    164.916,    172.825,    107.384,     1921.5,     1812.2,      63.70,    85.0000,    69.7000,          3,    118.431,       88.5,       28.3,     1014.1,   0.997858,   0.820000,   0.810405,   0.008645
     3.800,     5050.8,    165.030,    174.711,    110.247,     1820.1,     1824.8,      62.13,    85.6000,    70.1920,          3,    121.277,       88.5,       27.7,     1012.5,   1.003735,   0.820000,   0.821664,   0.008957
     3.850,     5053.0,    167.983,    175.815,    110.690,     1932.5,     1837.4,      62.65,    86.2000,    70.6840,          3,    120.858,       88.5,       28.7,     1014.8,   1.002658,   0.820000,   0.798722,   0.009511
     3.900,     5101.7,    170.028,    179.652,    112.354,     1909.2,     1850.0,      68.07,    86.8000,    71.1760,          3,    124.677,       88.5,       28.4,     1012.5,   0.990610,   0.820000,   0.848128,   0.009143
     3.950,     5111.1,    170.907,    183.103,    114.885,     1913.8,     1862.6,      65.02,    87.4000,    71.6680,          3,    122.758,       88.5,       29.5,     1012.9,   1.004022,   0.820000,   0.835660,   0.009570
     4.000,     5172.7,    175.029,    183.686,    121.769,     1991.2,     1875.2,      69.42,    88.0000,    72.1600,          3,    122.323,       88.5,       28.1,     1010.9,   1.003791,   0.820000,   0.812868,   0.009129
     4.050,     5192.4,    175.485,    187.912,    120.888,     1940.4,     1887.8,      69.06,    88.6000,    72.6520,          3,    125.019,       88.5,       28.1,     1011.6,   0.989089,   0.820000,   0.833394,   0.010031
     4.100,     5242.1,    177.203,    184.901,    124.946,     1979.1,     1900.4,      66.20,    89.2000,    73.1440,          3,    125.332,       88.5,       27.9,     1012.0,   1.000435,   0.820000,   0.831836,   0.009718
     4.150,     5309.1,    181.421,    189.141,    121.709,     2020.9,     1913.0,      67.04,    89.8000,    73.6360,          3,    127.270,       88.5,       28.9,     1012.9,   1.002128,   0.820000,   0.828173,   0.010230
     4.200,     5336.5,    178.693,    189.375,    127.146,     2062.8,     1913.0,      69.49,    90.4000,    74.1280,          3,    127.233,       88.5,       27.9,     1012.0,   1.010005,   0.820000,   0.817028,   0.009725
     4.250,     5361.3,    180.502,    186.769,    128.848,     1984.1,     1913.0,      66.25,    91.0000,    74.6200,          3,    128.574,       88.5,       29.8,     1013.9,   0.999682,   0.820000,   0.798010,   0.009501
     4.300,     5401.1,    181.422,    189.478,    126.179,     1970.1,     1913.0,      68.57,    91.6000,    75.1120,          3,    129.346,       88.5,       28.3,     1012.0,   0.999406,   0.820000,   0.799143,   0.009622
     4.350,     5479.9,    177.249,    189.905,    128.939,     1963.5,     1913.0,      72.76,    92.2000,    75.6040,          3,    130.992,       88.5,       28.8,     1012.4,   1.005681,   0.820000,   0.826649,   0.010133
     4.400,     5451.8,    180.590,    190.987,    130.104,     2020.5,     1913.0,      70.00,    92.8000,    76.0960,          3,    132.357,       88.5,       28.8,     1012.0,   0.997009,   0.820000,   0.823127,   0.009636
     4.450,     5535.5,    177.623,    191.226,    127.636,     1997.0,     1913.0,      64.88,    93.4000,    76.5880,          3,    130.955,       88.5,       27.6,     1013.7,   1.004116,   0.820000,   0.831778,   0.009743
     4.500,     5590.2,    181.228,    191.689,    124.066,     2007.6,     1913.0,      68.42,    94.0000,    77.0800,          3,    132.574,       88.5,       28.1,     1011.9,   0.993273,   0.820000,   0.810371,   0.010134
     4.550,     5565.2,    176.579,    189.955,    129.640,     1989.5,     1913.0,      69.78,    94.6000,    77.5720,          3,    132.819,       88.5,       28.3,     1012.5,   1.002280,   0.820000,   0.828124,   0.009791
     4.600,     5602.6,    177.607,    188.230,    129.809,     1971.1,     1913.0,      66.33,    95.2000,    78.0640,          3,    132.807,       88.5,       28.3,     1013.2,   0.998282,   0.820000,   0.823569,   0.009780
     4.650,     5629.8,    180.501,    188.713,    131.616,     1995.3,     1913.0,      68.86,    95.8000,    78.5560,          3,    134.944,       88.5,       27.6,     1011.8,   1.004501,   0.820000,   0.800674,   0.009988
     4.700,     5695.4,    180.723,    188.651,    129.691,     1985.5,     1913.0,      69.39,    96.4000,    79.0480,          3,    136.593,       88.5,       27.8,     1013.3,   1.000726,   0.820000,   0.810030,   0.009650
     4.750,     5698.5,    177.836,    188.610,    135.341,     1966.0,     1913.0,      69.04,    97.0000,    79.5400,          3,    134.424,       88.5,       28.7,     1014.0,   0.999285,   0.820000,   0.828499,   0.009846
     4.800,     5721.0,    179.429,    191.519,    128.906,     1939.0,     1913.0,      68.96,    97.6000,    80.0320,          3,    138.553,       88.5,       28.5,     1013.0,   0.992402,   0.820000,   0.822567,   0.010431
     4.850,     5790.9,    177.815,    187.117,    138.022,     2026.5,     1913.0,      70.12,    98.2000,    80.5240,          3,    137.847,       88.5,       28.8,     1013.2,   0.992986,   0.820000,   0.817137,   0.009775
     4.900,     5838.5,    177.618,    188.002,    139.877,     2043.0,     1913.0,      71.40,    98.8000,    81.0160,          3,    138.756,       88.5,       27.8,     1014.8,   1.005689,   0.820000,   0.762029,   0.009747
     4.950,     5835.4,    179.601,    186.419,    140.172,     1987.3,     1913.0,      71.28,    99.4000,    81.5080,          3,    139.682,       88.5,       27.8,     1013.8,   0.999752,   0.820000,   0.821626,   0.009829
     5.000,     5899.8,    181.739,    187.529,    132.515,     1968.7,     1913.0,      68.13,   100.0000,    82.0000,          3,    142.471,       88.5,       27.2,     1013.9,   1.002107,   0.820000,   0.797410,   0.009624
     5.050,     5916.7,    178.728,    185.886,    136.546,     2012.9,     1913.0,      71.50,   100.0000,    82.0000,          3,    140.130,       88.5,       28.4,     1012.8,   0.999318,   0.820000,   0.805897,   0.009768
     5.100,     5928.2,    177.025,    186.872,    140.570,     2084.4,     1913.0,      70.03,   100.0000,    82.0000,          3,    139.240,       88.5,       27.9,     1013.2,   0.993268,   0.820000,   0.797497,   0.009723
     5.150,     5949.4,    179.716,    189.873,    141.047,     1969.9,     1913.0,      70.79,   100.0000,    82.0000,          3,    139.402,       88.5,       28.5,     1012.4,   1.000425,   0.820000,   0.837931,   0.010032
     5.200,     5944.4,    176.923,    188.517,    140.123,     2034.0,     1913.0,      72.64,   100.0000,    82.0000,          3,    144.322,       88.5,       28.6,     1010.9,   0.996752,   0.820000,   0.819996,   0.010185
     5.250,     5939.7,    184.176,    189.113,    138.480,     1992.9,     1913.0,      68.91,   100.0000,    82.0000,          3,    140.500,       88.5,       28.5,     1013.6,   0.999118,   0.820000,   0.802043,   0.009846
     5.300,     5969.2,    181.234,    187.957,    140.933,     2034.9,     1913.0,      70.60,   100.0000,    82.0000,          3,    143.484,       88.5,       27.7,     1014.0,   0.997658,   0.820000,   0.808062,   0.009749
     5.350,     5960.9,    180.450,    190.690,    141.145,     2012.6,     1913.0,      69.52,   100.0000,    82.0000,          3,    143.239,       88.5,       27.9,     1012.2,   0.999870,   0.820000,   0.822844,   0.009730
     5.400,     5995.0,    177.345,    189.518,    141.231,     2000.4,     1913.0,      70.55,   100.0000,    82.0000,          3,    142.900,       88.5,       27.7,     1013.3,   0.996556,   0.820000,   0.810259,   0.009802
     5.450,     5974.8,    181.169,    186.278,    138.081,     1966.9,     1913.0,      68.76,   100.0000,    82.0000,          3,    141.121,       88.5,       28.9,     1012.7,   1.003995,   0.820000,   0.798210,   0.009772
     5.500,     6000.6,    178.866,    186.274,    140.581,     1984.4,     1913.0,      68.51,   100.0000,    82.0000,          3,    142.940,       88.5,       28.2,     1015.0,   1.004320,   0.820000,   0.786003,   0.009686
     5.550,     5950.0,    181.462,    187.601,    136.140,     1950.8,     1913.0,      72.34,   100.0000,    82.0000,          3,    143.058,       88.5,       27.6,     1013.9,   0.993961,   0.820000,   0.835956,   0.009723
     5.600,     6030.0,    180.463,    187.393,    144.537,     2024.5,     1913.0,      67.80,   100.0000,    82.0000,          3,    140.735,       88.5,       27.4,     1012.8,   0.997932,   0.820000,   0.814776,   0.010191
     5.650,     6015.8,    180.941,    186.674,    142.364,     1964.2,     1913.0,      70.48,   100.0000,    82.0000,          3,    141.306,       88.5,       28.2,     1011.8,   0.987107,   0.820000,   0.806860,   0.009765
     5.700,     5982.6,    178.320,    187.847,    144.479,     2003.8,     1913.0,      66.33,   100.0000,    82.0000,          3,    141.912,       88.5,       28.6,     1015.3,   1.010201,   0.820000,   0.837822,   0.009696
     5.750,     6022.7,    179.581,    188.304,    140.938,     2013.0,     1913.0,      71.79,   100.0000,    82.0000,          3,    140.100,       88.5,       28.7,     1012.2,   1.003365,   0.820000,   0.794079,   0.009733
     5.800,     6024.1,    180.912,    191.694,    140.377,     2016.9,     1913.0,      68.89,   100.0000,    82.0000,          3,    144.528,       88.5,       28.4,     1012.6,   1.003642,   0.820000,   0.836274,   0.009700
     5.850,     6001.2,    181.825,    188.836,    139.336,     2030.0,     1913.0,      71.22,   100.0000,    82.0000,          3,    143.695,       88.5,       27.5,     1013.9,   1.004566,   0.820000,   0.818354,   0.009921
     5.900,     5953.4,    180.259,    191.929,    141.820,     2044.2,     1913.0,      68.55,   100.0000,    82.0000,          3,    143.614,       88.5,       27.6,     1013.7,   1.002029,   0.820000,   0.806030,   0.010155
     5.950,     6044.8,    180.558,    188.076,    139.232,     1957.5,     1913.0,      73.13,   100.0000,    82.0000,          3,    142.813,       88.5,       28.1,     1013.3,   0.996811,   0.820000,   0.821665,   0.009563
     6.000,     5998.9,    178.831,    187.473,    140.834,     2047.7,     1913.0,      66.44,   100.0000,    82.0000,          3,    143.537,       88.5,       27.5,     1012.3,   0.994661,   0.820000,   0.821467,   0.009983
     6.050,     6014.9,    178.128,    187.484,    143.424,     2015.3,     1913.0,      70.88,   100.0000,    82.0000,          3,    141.989,       88.5,       27.4,     1013.0,   0.994822,   0.820000,   0.814239,   0.009822
     6.100,     5985.7,    177.262,    189.335,    139.628,     1972.5,     1913.0,      72.14,   100.0000,    82.0000,          3,    144.656,       88.5,       29.6,     1012.7,   1.006419,   0.820000,   0.817102,   0.009873
     6.150,     6017.8,    179.761,    184.203,    137.308,     2006.1,     1913.0,      72.63,   100.0000,    82.0000,          3,    143.808,       88.5,       28.1,     1012.2,   1.009260,   0.820000,   0.836261,   0.010090
     6.200,     5997.2,    179.809,    187.034,    141.236,     2026.0,     1913.0,      73.64,   100.0000,    82.0000,          3,    142.228,       88.5,       28.0,     1013.3,   1.001003,   0.820000,   0.801847,   0.009678
