###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010

Used EcuDefinition file: MED9_0261S02469.ecu

ECU identified with following data:
HWNumber    = 1K0907115S       (requested was 1K0907115S)
SWNumber    = 0261S02469       (requested was 0261S02469)
PartNumber  = 1K0907115S       (requested was 1K0907115S)
SWVersion   = 0001             (requested was 0001)
EngineId    = 2.0L R4/4V TFSI  (requested was 2.0L R4/4V TFSI)
VAGHWNumber = 1K0907115S
ModelId     = MED9.1

Log packet size: 40 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  15.06.2024 14:23:17.500

TIME          , nmot_w        , rl_w          , rlsol_w       , mshfm_w       , uhfm_w        , pvdks_w       , plsol_w       , pssol_w       , ldtvm         , fr_w          , fra_w         , lamsbg_w      , lamsoni_w     , ti_w          , wped_w        , wdkba         , B_lr          , gangi         , vfil_w        , tmot          , tans          , pus_w         , rl            , zwist         , prist_w       
     2.200,     3852.4,    104.744,    108.000,     59.269,    2.37136,     1393.4,     1406.8,     1406.8,      29.36,   1.000000,   0.978877,   0.820000,   0.842122,   0.006634,    63.0000,    53.5500,          0,          3,     94.453,       88.5,       27.4,     1013.7,    107.167,      19.59,   0.121720
     2.250,     3906.8,    104.860,    108.581,     62.689,    2.44918,     1412.8,     1427.0,     1427.0,      30.61,   1.000000,   0.980111,   0.820000,   0.834362,   0.006252,    63.7500,    54.1875,          0,          3,     93.881,       88.5,       29.1,     1014.9,    106.586,      19.15,   0.121491
     2.300,     3967.4,    109.406,    109.817,     66.067,    2.48058,     1457.2,     1447.3,     1447.3,      35.27,   1.000000,   0.984326,   0.820000,   0.817661,   0.006512,    64.5000,    54.8250,          0,          3,     93.304,       88.5,       27.8,     1014.9,    109.582,      19.13,   0.121164
     2.350,     4044.9,    108.134,    113.895,     65.962,    2.51559,     1453.8,     1467.5,     1467.5,      33.31,   1.000000,   0.982843,   0.820000,   0.810788,   0.006439,    65.2500,    55.4625,          0,          3,     95.390,       88.5,       27.9,     1013.8,    106.869,      17.86,   0.121716
     2.400,     4059.9,    112.576,    115.799,     68.129,    2.49940,     1479.3,     1487.8,     1487.8,      36.57,   1.000000,   0.977675,   0.820000,   0.816378,   0.006662,    66.0000,    56.1000,          0,          3,     96.241,       88.5,       28.0,     1012.7,    111.867,      17.83,   0.121349
     2.450,     4105.6,    111.567,    114.515,     68.525,    2.50368,     1513.6,     1508.0,     1508.0,      40.96,   1.000000,   0.982276,   0.820000,   0.793955,   0.006791,    66.7500,    56.7375,          0,          3,     96.872,       88.5,       27.4,     1012.8,    113.299,      17.91,   0.124110
     2.500,     4112.3,    116.442,    115.516,     70.863,    2.49657,     1523.3,     1528.3,     1528.3,      40.04,   1.000000,   0.978410,   0.820000,   0.828244,   0.007085,    67.5000,    57.3750,          0,          3,     99.280,       88.5,       27.8,     1011.3,    115.291,      18.13,   0.121600
     2.550,     4207.2,    117.530,    118.058,     74.178,    2.69198,     1568.4,     1548.5,     1548.5,      43.44,   1.000000,   0.979958,   0.820000,   0.793007,   0.006850,    68.2500,    58.0125,          0,          3,     97.737,       88.5,       29.0,     1013.5,    116.346,      18.51,   0.124754
     2.600,     4213.6,    118.375,    123.249,     76.567,    2.60551,     1580.5,     1568.8,     1568.8,      46.34,   1.000000,   0.980383,   0.820000,   0.808293,   0.007144,    69.0000,    58.6500,          0,          3,    101.711,       88.5,       28.0,     1013.8,    120.358,      17.82,   0.124829
     2.650,     4262.8,    119.799,    124.557,     75.565,    2.64902,     1608.4,     1589.0,     1589.0,      48.08,   1.000000,   0.978526,   0.820000,   0.834829,   0.007346,    69.7500,    59.2875,          0,          3,    102.858,       88.5,       27.6,     1013.1,    118.390,      17.23,   0.123123
     2.700,     4292.1,    122.954,    124.315,     78.682,    2.71912,     1622.7,     1609.3,     1609.3,      45.61,   1.000000,   0.979612,   0.820000,   0.816680,   0.007468,    70.5000,    59.9250,          0,          3,    103.022,       88.5,       27.8,     1014.8,    120.490,      16.99,   0.123469
     2.750,     4335.9,    122.309,    124.552,     78.895,    2.66462,     1614.7,     1629.5,     1629.5,      46.36,   1.000000,   0.977979,   0.820000,   0.796451,   0.007140,    71.2500,    60.5625,          0,          3,    104.545,       88.5,       28.0,     1012.6,    122.380,      17.87,   0.122725
     2.800,     4400.1,    125.171,    125.716,     83.251,    2.67768,     1653.7,     1649.8,     1649.8,      52.14,   1.000000,   0.975745,   0.820000,   0.809279,   0.007408,    72.0000,    61.2000,          0,          3,    103.486,       88.5,       27.9,     1013.4,    125.192,      16.76,   0.125371
     2.850,     4489.5,    127.658,    128.761,     83.662,    2.74250,     1702.4,     1670.0,     1670.0,      52.78,   1.000000,   0.983467,   0.820000,   0.774744,   0.007510,    72.7500,    61.8375,          0,          3,    106.635,       88.5,       27.7,     1011.8,    127.416,      15.52,   0.123747
     2.900,     4513.0,    128.927,    127.676,     87.069,    2.86359,     1699.8,     1690.3,     1690.3,      54.40,   1.000000,   0.975965,   0.820000,   0.825333,   0.007532,    73.5000,    62.4750,          0,          3,    108.302,       88.5,       28.9,     1014.9,    127.177,      16.89,   0.125616
     2.950,     4542.1,    129.214,    131.072,     90.327,    2.87556,     1739.8,     1710.5,     1710.5,      57.46,   1.000000,   0.978452,   0.820000,   0.833576,   0.007531,    74.2500,    63.1125,          0,          3,    108.585,       88.5,       27.4,     1013.1,    129.568,      16.08,   0.127087
     3.000,     4577.5,    129.993,    134.485,     91.590,    2.92766,     1717.9,     1730.8,     1730.8,      56.71,   1.000000,   0.982420,   0.820000,   0.810140,   0.007989,    75.0000,    63.7500,          0,          3,    109.924,       88.5,       28.4,     1012.1,    129.848,      15.29,   0.122818
     3.050,     4656.5,    132.646,    135.956,     91.931,    2.88389,     1748.0,     1751.0,     1751.0,      59.88,   1.000000,   0.981777,   0.820000,   0.808072,   0.008090,    75.7500,    64.3875,          0,          3,    109.756,       88.5,       28.7,     1014.7,    135.017,      15.66,   0.128436
     3.100,     4688.9,    134.065,    137.860,     94.935,    2.92395,     1777.0,     1771.3,     1771.3,      61.40,   1.000000,   0.979762,   0.820000,   0.830156,   0.008007,    76.5000,    65.0250,          0,          3,    111.873,       88.5,       28.0,     1011.8,    133.934,      14.88,   0.129025
     3.150,     4683.5,    134.063,    138.055,     93.900,    2.93517,     1795.3,     1791.5,     1791.5,      63.23,   1.000000,   0.980550,   0.820000,   0.832287,   0.008117,    77.2500,    65.6625,          0,          3,    112.530,       88.5,       27.4,     1013.1,    134.935,      14.68,   0.127639
     3.200,     4752.7,    135.108,    143.894,     97.803,    3.00255,     1817.7,     1811.8,     1811.8,      62.29,   1.000000,   0.981440,   0.820000,   0.830915,   0.008280,    78.0000,    66.3000,          0,          3,    113.452,       88.5,       27.8,     1012.7,    136.324,      14.09,   0.126348
     3.250,     4842.5,    138.164,    141.793,     97.491,    2.95861,     1813.7,     1832.0,     1832.0,      61.51,   1.000000,   0.978653,   0.820000,   0.808779,   0.008358,    78.7500,    66.9375,          0,          3,    115.516,       88.5,       27.8,     1013.4,    139.158,      14.62,   0.126996
     3.300,     4848.9,    139.931,    143.722,    101.577,    3.06435,     1856.3,     1852.3,     1852.3,      65.65,   1.000000,   0.980946,   0.820000,   0.835322,   0.008218,    79.5000,    67.5750,          0,          3,    117.197,       88.5,       28.0,     1011.0,    139.608,      13.34,   0.126647
     3.350,     4939.8,    140.230,    146.501,    103.325,    3.03126,     1858.4,     1872.5,     1872.5,      64.34,   1.000000,   0.979228,   0.820000,   0.814666,   0.008410,    80.2500,    68.2125,          0,          3,    115.952,       88.5,       28.9,     1010.7,    142.665,      13.69,   0.130299
     3.400,     4934.6,    143.340,    146.430,    106.216,    3.14575,     1890.0,     1892.8,     1892.8,      72.02,   1.000000,   0.979865,   0.820000,   0.806706,   0.008713,    81.0000,    68.8500,          0,          3,    116.864,       88.5,       27.7,     1013.3,    143.185,      13.91,   0.128361
     3.450,     4968.1,    145.410,    148.147,    107.237,    3.08369,     1912.7,     1913.0,     1913.0,      73.62,   1.000000,   0.977854,   0.820000,   0.827228,   0.008903,    81.7500,    69.4875,          0,          3,    120.427,       88.5,       27.8,     1012.3,    144.121,      13.35,   0.129280
     3.500,     5018.8,    146.353,    149.111,    111.552,    3.17376,     1898.7,     1913.0,     1913.0,      68.58,   1.000000,   0.978553,   0.820000,   0.811942,   0.008856,    82.5000,    70.1250,          0,          3,    121.113,       88.5,       28.5,     1013.0,    146.767,      13.73,   0.128666
     3.550,     5061.3,    149.492,    148.742,    115.129,    3.28037,     1912.4,     1913.0,     1913.0,      75.81,   1.000000,   0.980863,   0.820000,   0.821320,   0.009044,    83.2500,    70.7625,          0,          3,    122.245,       88.5,       28.1,     1013.1,    150.745,      12.90,   0.129192
     3.600,     5176.2,    147.641,    150.770,    113.946,    3.20079,     1890.8,     1913.0,     1913.0,      71.02,   1.000000,   0.980302,   0.820000,   0.803494,   0.009008,    84.0000,    71.4000,          0,          3,    122.008,       88.5,       28.2,     1012.4,    148.178,      12.79,   0.128887
     3.650,     5200.3,    152.465,    153.529,    118.794,    3.26617,     1899.9,     1913.0,     1913.0,      70.40,   1.000000,   0.981153,   0.820000,   0.832487,   0.009267,    84.7500,    72.0375,          0,          3,    121.076,       88.5,       28.2,     1012.3,    151.908,      13.01,   0.131433
     3.700,     5180.9,    149.580,    157.050,    117.386,    3.24940,     1887.1,     1913.0,     1913.0,      67.19,   1.000000,   0.980327,   0.820000,   0.811511,   0.008961,    85.5000,    72.6750,          0,          3,    123.708,       88.5,       27.2,     1011.6,    152.265,      12.41,   0.130637
     3.750,     5296.8,    157.181,    158.580,    123.190,    3.33911,     1931.8,     1913.0,     1913.0,      77.41,   1.000000,   0.982188,   0.820000,   0.832426,   0.009343,    86.2500,    73.3125,          0,          3,    126.639,       88.5,       28.5,     1011.9,    152.730,      12.31,   0.130358
     3.800,     5342.2,    156.350,    159.607,    122.916,    3.37274,     1881.1,     1913.0,     1913.0,      73.00,   1.000000,   0.981045,   0.820000,   0.809091,   0.009109,    87.0000,    73.9500,          0,          3,    128.189,       88.5,       27.5,     1014.3,    155.065,      12.09,   0.130557
     3.850,     5386.9,    156.479,    162.596,    129.430,    3.40258,     1913.3,     1913.0,     1913.0,      72.78,   1.000000,   0.981027,   0.820000,   0.827411,   0.009609,    87.7500,    74.5875,          0,          3,    125.832,       88.5,       28.2,     1013.2,    157.039,      11.60,   0.131243
     3.900,     5424.5,    161.589,    161.852,    125.329,    3.43708,     1908.4,     1913.0,     1913.0,      69.38,   1.000000,   0.978704,   0.820000,   0.801496,   0.009769,    88.5000,    75.2250,          0,          3,    129.777,       88.5,       28.4,     1012.7,    157.161,      12.06,   0.132606
     3.950,     5427.3,    159.764,    165.153,    127.803,    3.44370,     1924.0,     1913.0,     1913.0,      73.53,   1.000000,   0.979054,   0.820000,   0.796368,   0.009428,    89.2500,    75.8625,          0,          3,    130.578,       88.5,       28.6,     1012.6,    160.878,      11.57,   0.131307
     4.000,     5500.9,    162.413,    164.699,    136.202,    3.59198,     1945.6,     1913.0,     1913.0,      73.66,   1.000000,   0.982072,   0.820000,   0.836711,   0.009392,    90.0000,    76.5000,          0,          3,    131.378,       88.5,       28.5,     1011.5,    162.679,      10.96,   0.133632
     4.050,     5509.8,    162.522,    166.873,    137.270,    3.54736,     1894.8,     1913.0,     1913.0,      71.40,   1.000000,   0.978492,   0.820000,   0.809192,   0.009889,    90.7500,    77.1375,          0,          3,    130.520,       88.5,       28.3,     1012.2,    168.371,      10.61,   0.132767
     4.100,     5570.5,    165.475,    171.201,    139.165,    3.55510,     1897.9,     1913.0,     1913.0,      72.69,   1.000000,   0.983531,   0.820000,   0.833573,   0.009852,    91.5000,    77.7750,          0,          3,    131.774,       88.5,       28.9,     1014.2,    166.280,      10.47,   0.133325
     4.150,     5660.4,    166.823,    170.712,    138.829,    3.59919,     1914.3,     1913.0,     1913.0,      74.51,   1.000000,   0.975619,   0.820000,   0.814810,   0.010209,    92.2500,    78.4125,          0,          3,    134.567,       88.5,       28.2,     1016.3,    166.768,      10.50,   0.133665
     4.200,     5636.6,    170.321,    174.057,    141.231,    3.58080,     1946.2,     1913.0,     1913.0,      74.44,   1.000000,   0.981046,   0.820000,   0.796514,   0.010244,    93.0000,    79.0500,          0,          3,    135.163,       88.5,       28.4,     1013.4,    169.708,       9.87,   0.134717
     4.250,     5744.5,    169.405,    173.828,    142.490,    3.66032,     1909.7,     1913.0,     1913.0,      74.13,   1.000000,   0.979806,   0.820000,   0.828696,   0.010273,    93.7500,    79.6875,          0,          3,    135.160,       88.5,       28.7,     1013.1,    170.248,      10.14,   0.131954
     4.300,     5763.3,    169.758,    174.871,    150.307,    3.75692,     1889.1,     1913.0,     1913.0,      72.76,   1.000000,   0.979575,   0.820000,   0.836995,   0.010232,    94.5000,    80.3250,          0,          3,    137.134,       88.5,       27.5,     1013.7,    168.591,       9.11,   0.134852
     4.350,     5763.1,    173.091,    177.280,    151.621,    3.78264,     1912.9,     1913.0,     1913.0,      68.20,   1.000000,   0.979705,   0.820000,   0.805358,   0.010110,    95.2500,    80.9625,          0,          3,    137.611,       88.5,       28.4,     1014.6,    170.743,       9.59,   0.134966
     4.400,     5860.3,    178.856,    179.504,    149.494,    3.80215,     1889.4,     1913.0,     1913.0,      63.81,   1.000000,   0.978424,   0.820000,   0.830958,   0.010541,    96.0000,    81.6000,          0,          3,    139.000,       88.5,       27.6,     1012.8,    174.949,       9.08,   0.135852
     4.450,     5868.9,    177.876,    178.936,    160.462,    3.93027,     1892.2,     1913.0,     1913.0,      72.78,   1.000000,   0.981332,   0.820000,   0.809000,   0.010733,    96.7500,    82.2375,          0,          3,    140.206,       88.5,       26.7,     1013.0,    173.351,       8.97,   0.137015
